name;rating;types;vicinity;espec_fld_latitude;espec_fld_longitude;hours;checkins;macro_category_name
Café O Pinheiro;4.0;['cafe', 'point_of_interest', 'food', 'establishment'];Rua 25 de Abril 27;38.5732393;-8.771943099999998;[[8,23],[8,23]];0;food_drinks_cafe
Meco Café;4.2;['cafe', 'point_of_interest', 'food', 'establishment'];Rua das Bicas;38.4636402;-9.189536;[[8,23],[8,23]];0;food_drinks_cafe
Padeirinha do Infantado;4.5;['cafe', 'bakery', 'store', 'food', 'point_of_interest', 'establishment'];Rua Pedro Álvares Cabral 44, Loures;38.8412495;-9.1612682;[[8,23],[8,23]];0;food_drinks_cafe
Café Esperança;4.2;['cafe', 'food', 'point_of_interest', 'establishment'];Estrada Lagameças 825;38.6054031;-8.782369000000001;[[8,23],[8,23]];0;food_drinks_cafe
Café Pérola da Sofia;4.6;['cafe', 'point_of_interest', 'food', 'establishment'];Rua do Brejo 2;38.8933635;-9.233626499999998;[[8,23],[8,23]];0;food_drinks_cafe
Café Certã;4.4;['cafe', 'food', 'point_of_interest', 'establishment'];Rua General Humberto Delgado 16;38.5943446;-8.649538300000001;[[8,23],[8,23]];0;food_drinks_cafe
Café Manuel Graça;4.6;['cafe', 'point_of_interest', 'food', 'establishment'];Rua da Padaria n6, Sesimbra;38.4592298;-9.0746594;[[8,23],[8,23]];0;food_drinks_cafe
Sede do Clube de Futebol da Trafaria;4.1;['cafe', 'food', 'point_of_interest', 'establishment'];Avenida Bulhão Pato 33, Trafaria;38.672411;-9.231025400000002;[[8,23],[8,23]];0;food_drinks_cafe
SFUA 1° de Dezembro;4.4;['cafe', 'point_of_interest', 'food', 'establishment'];Rua Primeiro de Dezembro 1, Santo António da Charneca;38.6242455;-9.030817700000002;[[8,23],[8,23]];0;food_drinks_cafe
GDRC Os Unidos de Santo Isidoro;4.4;['cafe', 'food', 'point_of_interest', 'establishment'];Estrada de Ribeira d'Ilhas 42, Santo Isidoro;38.9916118;-9.4022959;[[8,23],[8,23]];0;food_drinks_cafe
Grupo Desportivo Estrela Areenses;4.5;['cafe', 'point_of_interest', 'food', 'establishment'];Estrada da Quinta da Areia, Coina;38.58062109999999;-9.034272799999998;[[8,23],[8,23]];0;food_drinks_cafe
Grupo Recreativo Uniao Penalvense;4.2;['cafe', 'food', 'point_of_interest', 'establishment'];Estrada do Santo António, Santo António da Charneca;38.6011698;-9.0184013;[[8,23],[8,23]];0;food_drinks_cafe
Doces Gonber;4.3;['cafe', 'bakery', 'store', 'food', 'point_of_interest', 'establishment'];Rua Maestro Alferes Álvaro Augusto de Sousa 27, Montelavar;38.864765000000006;-9.3301227;[[8,23],[8,23]];0;food_drinks_cafe
Moments Café;4.6;['cafe', 'food', 'point_of_interest', 'establishment'];Praceta Antero de Quental, Quinta do Anjo;38.5739065;-8.945212999999997;[[8,23],[8,23]];0;food_drinks_cafe
Restaurante Tipico Manuela Borges, Lda.;4.2;['restaurant', 'food', 'point_of_interest', 'establishment'];Fonte do Feto, Santo António da Charneca;38.6167123;-9.0166324;[[8,23],[8,23]];0;food_drinks_cafe
