,HM,H,M
PT: Portugal,"8,13","7,35","8,92"
150201: Alcochete,"8,24","8,3","8,17"
150202: Samouco,"6,87","6,78","6,96"
150203: São Francisco,"4,82","4,54","5,12"
150303: Costa da Caparica,"10,37","9,45","11,28"
"150312: União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas","9,81","10,08","9,55"
150313: União das freguesias de Caparica e Trafaria,"13,64","12,66","14,58"
150314: União das freguesias de Charneca de Caparica e Sobreda,"7,48","7,4","7,55"
150315: União das freguesias de Laranjeiro e Feijó,"11,23","10,86","11,57"
111513: Águas Livres,"10,13","9,82","10,42"
111512: Alfragide,"8,83","9,44","8,25"
111514: Encosta do Sol,"11,15","10,65","11,61"
111515: Falagueira-Venda Nova,"10,9","10,57","11,2"
111516: Mina de Água,"8,99","8,26","9,68"
111517: Venteira,"10,06","9,32","10,73"
150407: Santo António da Charneca,"9,64","9,54","9,73"
"150409: União das freguesias de Alto do Seixalinho, Santo André e Verderena","10,74","10,31","11,16"
150410: União das freguesias de Barreiro e Lavradio,"10,3","9,51","11,05"
150411: União das freguesias de Palhais e Coina,"7,41","7,26","7,55"
110501: Alcabideche,"9,11","8,84","9,36"
110506: São Domingos de Rana,"7,89","7,86","7,93"
110507: União das freguesias de Carcavelos e Parede,"7,92","8,3","7,57"
110508: União das freguesias de Cascais e Estoril,"8,35","8,05","8,64"
110601: Ajuda,"10,53","11,37","9,77"
110602: Alcântara,"9,4","10,1","8,76"
110654: Alvalade,"6,04","6,42","5,69"
110655: Areeiro,"7,31","7,84","6,82"
110656: Arroios,"8,03","8,38","7,63"
110657: Avenidas Novas,"5,78","6,05","5,52"
110607: Beato,"12,85","13,24","12,43"
110658: Belém,"5,73","5,74","5,72"
110608: Benfica,"7,72","8,01","7,47"
110659: Campo de Ourique,"7,28","6,99","7,54"
110610: Campolide,"8,82","8,09","9,54"
110611: Carnide,"8,63","9,52","7,81"
110660: Estrela,"6,95","6,75","7,14"
110618: Lumiar,"5,95","6,3","5,64"
110621: Marvila,"13,68","14,68","12,71"
110661: Misericórdia,"10,27","10,55","9,95"
110633: Olivais,"9,8","10,34","9,28"
110662: Parque das Nações,"6,98","7,25","6,71"
110663: Penha de França,"10,19","10,47","9,91"
110664: Santa Clara,"13,08","13,55","12,64"
110665: Santa Maria Maior,"13,59","14,31","12,33"
110666: Santo António,"6,5","6,71","6,27"
110639: São Domingos de Benfica,"5,8","6,22","5,43"
110667: São Vicente,"10,13","10,55","9,69"
110702: Bucelas,"6,43","5,51","7,4"
110705: Fanhões,"8,63","8,59","8,67"
110707: Loures,"6,78","6,49","7,04"
110708: Lousa,"5,93","5,14","6,8"
"110731: União das freguesias de Camarate, Unhos e Apelação","12,29","11,06","13,48"
110726: União das freguesias de Moscavide e Portela,"8,35","8,23","8,46"
110727: União das freguesias de Sacavém e Prior Velho,"10,68","10,19","11,14"
"110728: União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela","8,78","8,18","9,36"
110729: União das freguesias de Santo Antão e São Julião do Tojal,"8,49","8,02","8,98"
110730: União das freguesias de Santo António dos Cavaleiros e Frielas,"8,81","8,33","9,26"
110902: Carvoeira,"7,33","6,09","8,62"
110904: Encarnação,"4,69","4,27","5,14"
110906: Ericeira,"8,19","7,16","9,21"
110909: Mafra,"6,02","5,52","6,51"
110911: Milharado,"5,39","5,3","5,48"
110913: Santo Isidoro,"6,79","7,2","6,35"
110918: União das freguesias de Azueira e Sobral da Abelheira,"4,69","3,69","5,84"
"110919: União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário","5,78","4,58","7,12"
110920: União das freguesias de Igreja Nova e Cheleiros,"6,39","5,58","7,31"
110921: União das freguesias de Malveira e São Miguel de Alcainça,"6,5","5,73","7,28"
110922: União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés,"5,71","5,18","6,26"
150601: Alhos Vedros,"9,9","9,06","10,78"
150603: Moita,"9,4","8,6","10,18"
150607: União das freguesias de Baixa da Banheira e Vale da Amoreira,"15,31","14,55","16,03"
150608: União das freguesias de Gaio-Rosário e Sarilhos Pequenos,"8,11","8,97","7,25"
150701: Canha,"4,88","4,99","4,74"
150704: Sarilhos Grandes,"9,59","8,25","11,11"
150709: União das freguesias de Atalaia e Alto Estanqueiro-Jardia,"9,41","8,11","10,84"
150710: União das freguesias de Montijo e Afonsoeiro,"9,64","8,8","10,5"
150711: União das freguesias de Pegões,"5,69","4,71","7,15"
111603: Odivelas,"8,3","7,9","8,68"
111608: União das freguesias de Pontinha e Famões,"8,87","8,68","9,06"
111609: União das freguesias de Póvoa de Santo Adrião e Olival Basto,"10,42","9,54","11,27"
111610: União das freguesias de Ramada e Caneças,"6,86","6,74","6,98"
111002: Barcarena,"6,96","6,93","6,99"
111009: Porto Salvo,"8,92","9,25","8,62"
"111012: União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",7,"7,1","6,91"
111013: União das freguesias de Carnaxide e Queijas,"7,22","7,4","7,06"
"111014: União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias","7,48","7,65","7,34"
150802: Palmela,"7,29","6,84","7,76"
150803: Pinhal Novo,"8,86","7,92","9,78"
150804: Quinta do Anjo,"7,45","7,25","7,65"
150806: União das freguesias de Poceirão e Marateca,"7,27","6,09","8,79"
151002: Amora,"10,53","9,71","11,3"
151005: Corroios,"8,53","7,92","9,09"
151006: Fernão Ferro,"7,45","7,08","7,83"
"151007: União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires","9,44","8,94","9,9"
151103: Quinta do Conde,"8,43","7,24","9,61"
151101: Sesimbra (Castelo),"7,34","6,69","8,03"
151102: Sesimbra (Santiago),"8,12","8,2","8,03"
151207: Gâmbia-Pontes-Alto da Guerra,"5,88","4,82","6,97"
151208: Sado,"7,11","6,92","7,31"
151205: Setúbal (São Sebastião),"10,44","10,04","10,83"
151209: União das freguesias de Azeitão (São Lourenço e São Simão),"6,9","6,58","7,22"
"151210: União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)","9,4","9,13","9,66"
111102: Algueirão-Mem Martins,"9,14","8,33","9,9"
111115: Casal de Cambra,"9,98","9,15","10,77"
111105: Colares,"7,38","7,15","7,61"
111108: Rio de Mouro,"9,27","8,17","10,29"
111122: União das freguesias de Agualva e Mira-Sintra,"10,47","9,55","11,31"
"111123: União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar","6,55","5,83","7,33"
111125: União das freguesias de Massamá e Monte Abraão,"9,54","8,94","10,08"
111126: União das freguesias de Queluz e Belas,"9,58","8,8","10,32"
111127: União das freguesias de São João das Lampas e Terrugem,"7,74","6,78","8,74"
"111128: União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)","7,14","6,64","7,66"
111124: União das freguesias do Cacém e São Marcos,"9,3","8,17","10,35"
"111412: União das freguesias de Alhandra, São João dos Montes e Calhandriz","8,03","7,62","8,44"
111413: União das freguesias de Alverca do Ribatejo e Sobralinho,"7,66","7,44","7,88"
111414: União das freguesias de Castanheira do Ribatejo e Cachoeiras,"8,67","7,39","9,98"
111415: União das freguesias de Póvoa de Santa Iria e Forte da Casa,"7,5","6,81","8,14"
111408: Vialonga,"8,14","7,82","8,44"
111409: Vila Franca de Xira,"8,16","7,23","9,05"
