Unnamed: 0;Total;Menos de 15 anos;15 - 19 anos;20 - 24 anos;25 - 29 anos;30 - 34 anos;35 - 39 anos;40 - 44 anos;45 - 49 anos;50 - 54 anos;55 - 59 anos;60 - 64 anos;65 - 69 anos;70 - 74 anos;75 ou mais anos;Dicofre
PT: Portugal;10343066;1331188;528190;559897;541861;561085;645232;757622;797793;748929;743288;704342;654094;589932;1179613;
17: Área Metropolitana de Lisboa;2870208;411213;151955;158623;164834;172305;189102;220917;227684;197503;183846;171604;161925;155936;302761;
170: Área Metropolitana de Lisboa;2870208;411213;151955;158623;164834;172305;189102;220917;227684;197503;183846;171604;161925;155936;302761;
150201: Alcochete;13228;2127;819;714;598;635;770;1135;1288;1086;902;719;625;676;1134;150201
150202: Samouco;3344;508;232;184;154;179;209;297;352;254;198;176;169;149;283;150202
150203: São Francisco;2571;497;168;152;99;104;189;258;299;196;138;100;84;97;190;150203
150303: Costa da Caparica;13968;1731;564;626;727;907;933;1067;1032;903;999;997;944;927;1611;150303
150312: União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas;48608;5336;2121;2470;2727;2959;2946;3186;3366;2981;3068;3235;3161;3422;7630;150312
150313: União das freguesias de Caparica e Trafaria;26345;4075;1497;1612;1527;1587;1675;1876;1853;1662;1644;1697;1668;1332;2640;150313
150314: União das freguesias de Charneca de Caparica e Sobreda;48733;7599;2753;2587;2140;2333;3135;4129;4374;3589;3156;2907;2618;2473;4940;150314
150315: União das freguesias de Laranjeiro e Feijó;39584;5478;2115;2336;2375;2258;2406;2734;2974;2722;2784;2583;2396;2095;4328;150315
111513: Águas Livres;37607;5256;1683;2040;2520;2650;2684;2716;2610;2209;2127;2124;2186;2353;4449;111513
111512: Alfragide;16837;2501;1099;1062;912;880;995;1193;1379;1317;1272;1128;921;828;1350;111512
111514: Encosta do Sol;27093;3976;1475;1685;1808;1775;1768;1880;1896;1752;1667;1804;1644;1447;2516;111514
111515: Falagueira-Venda Nova;20788;2545;923;1202;1463;1299;1261;1377;1363;1365;1253;1215;1192;1402;2928;111515
111516: Mina de Água;42961;6746;2174;2323;2575;2894;3249;3482;3216;2795;2638;2674;2421;2087;3687;111516
111517: Venteira;26168;3327;1087;1305;1778;1952;1823;1848;1872;1513;1545;1442;1391;1563;3722;111517
150407: Santo António da Charneca;11594;1788;689;641;583;577;702;829;913;768;737;811;736;624;1196;150407
150409: União das freguesias de Alto do Seixalinho, Santo André e Verderena;41296;5013;2045;2117;2228;2282;2355;3029;3223;2633;2456;2454;2639;3120;5702;150409
150410: União das freguesias de Barreiro e Lavradio;21813;2912;1205;1143;1154;1151;1322;1595;1841;1513;1422;1289;1248;1407;2611;150410
150411: União das freguesias de Palhais e Coina;3642;610;198;165;152;183;257;312;326;248;255;194;183;192;367;150411
110501: Alcabideche;44165;6687;2651;2584;2344;2120;2619;3360;3607;3365;3165;2719;2454;2277;4213;110501
110506: São Domingos de Rana;59238;9429;3493;3219;2678;3077;3754;5146;5424;4342;3877;3450;3308;2963;5078;110506
110507: União das freguesias de Carcavelos e Parede;46529;6193;2510;2404;2167;2159;2593;3399;3980;3423;3201;2952;2750;2829;5969;110507
110508: União das freguesias de Cascais e Estoril;64192;8728;3429;3225;2971;2917;3508;4430;4926;4585;4614;4239;4244;4258;8118;110508
110601: Ajuda;14306;1796;597;671;853;966;906;1046;1001;841;855;855;748;856;2315;110601
110602: Alcântara;13850;1774;584;651;964;1117;1078;1024;1036;817;760;704;689;761;1891;110602
110654: Alvalade;33309;4639;1550;1779;2129;2201;2196;2427;2252;2016;2006;1877;1803;1741;4693;110654
110655: Areeiro;21160;2779;1025;1192;1431;1428;1360;1491;1537;1311;1311;1233;1185;1172;2705;110655
110656: Arroios;33302;3456;1100;2035;3548;3430;3002;2645;2310;1886;1671;1544;1464;1556;3655;110656
110657: Avenidas Novas;23261;3047;1072;1408;1712;1597;1565;1604;1572;1495;1421;1310;1216;1197;3045;110657
110607: Beato;12183;1351;516;632;884;891;787;850;895;751;774;710;686;719;1737;110607
110658: Belém;16546;2468;837;892;769;838;925;1168;1234;1128;1018;878;935;966;2490;110658
110608: Benfica;35362;4101;1441;1752;2222;2265;2120;2389;2445;2163;2014;1975;2004;2395;6076;110608
110659: Campo de Ourique;22140;3156;1037;1018;1345;1564;1588;1737;1519;1277;1314;1155;1166;1216;3048;110659
110610: Campolide;14787;1702;657;756;1156;1156;1015;956;1026;970;930;868;802;775;2018;110610
110611: Carnide;18028;2462;952;1056;1029;971;1015;1192;1398;1258;1216;1210;1217;1063;1989;110611
110660: Estrela;20267;3013;1047;1060;1376;1482;1443;1544;1529;1340;1176;1066;971;986;2234;110660
110618: Lumiar;46334;6790;2448;2706;2910;2737;2951;3417;3582;3190;3071;2843;2732;2476;4481;110618
110621: Marvila;35479;4698;1807;1944;2070;2050;2222;2339;2315;2393;2523;2577;2533;2070;3938;110621
110661: Misericórdia;9658;953;353;511;715;789;740;757;739;657;611;600;535;502;1196;110661
110633: Olivais;32179;3865;1559;1707;1869;1789;1882;2021;2051;2279;2435;2168;1617;1623;5314;110633
110662: Parque das Nações;22382;3961;1497;1204;1043;1121;1393;2054;2238;1810;1486;1176;1084;931;1384;110662
110663: Penha de França;28475;3076;1080;1513;2360;2543;2359;2203;2063;1661;1522;1511;1420;1500;3664;110663
110664: Santa Clara;23645;4462;1394;1488;1491;1602;1674;1843;1752;1519;1326;1223;1103;977;1791;110664
110665: Santa Maria Maior;10051;875;287;566;1024;1117;1009;798;697;557;574;520;476;443;1108;110665
110666: Santo António;11060;1306;479;584;877;928;822;855;819;688;712;611;558;513;1308;110666
110639: São Domingos de Benfica;34076;4057;1596;1867;2355;2208;2040;2379;2337;2201;2083;1957;1958;2167;4871;110639
110667: São Vicente;13956;1433;469;693;1164;1357;1193;1114;973;862;719;669;681;705;1924;110667
110702: Bucelas;4802;656;215;251;213;251;276;353;361;326;321;304;306;316;653;110702
110705: Fanhões;2639;370;130;132;143;127;166;209;196;199;205;173;157;139;293;110705
110707: Loures;30254;4717;1573;1611;1621;1832;2265;2469;2402;2080;1927;1862;1592;1435;2868;110707
110708: Lousa;3216;430;153;152;170;151;199;227;226;245;227;233;211;205;387;110708
110731: União das freguesias de Camarate, Unhos e Apelação;33505;5445;1869;2032;2167;2299;2178;2129;2116;2084;2105;2137;2019;1779;3146;110731
110726: União das freguesias de Moscavide e Portela;20922;2438;870;964;1241;1216;1355;1470;1423;1167;1115;1093;1297;1712;3561;110726
110727: União das freguesias de Sacavém e Prior Velho;24672;3691;1406;1483;1481;1596;1658;1872;2137;1796;1491;1269;1152;1222;2418;110727
110728: União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela;44453;6165;2299;2244;2222;2401;2893;3500;3549;2935;2742;2790;2947;2863;4903;110728
110729: União das freguesias de Santo Antão e São Julião do Tojal;8605;1272;447;436;448;456;562;602;643;630;529;575;491;475;1039;110729
110730: União das freguesias de Santo António dos Cavaleiros e Frielas;28522;4439;1690;1775;1847;1893;2051;2330;2238;1993;1860;1686;1510;1152;2058;110730
110902: Carvoeira;2848;473;148;132;113;123;193;290;296;237;185;169;114;128;247;110902
110904: Encarnação;4918;710;304;274;259;234;300;376;401;365;346;275;281;232;561;110904
110906: Ericeira;12359;1954;693;586;577;678;879;1072;1173;869;776;705;667;653;1077;110906
110909: Mafra;20781;3576;1340;1154;975;1072;1430;1956;2035;1595;1312;1048;887;826;1575;110909
110911: Milharado;7645;1356;551;418;354;417;581;696;712;551;472;419;319;293;506;110911
110913: Santo Isidoro;4396;673;231;226;209;194;273;368;370;327;346;288;259;212;420;110913
110918: União das freguesias de Azueira e Sobral da Abelheira;4434;603;229;224;197;211;277;325;375;316;316;288;262;245;566;110918
110919: União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário;3979;592;248;209;179;208;273;320;314;321;275;210;211;200;419;110919
110920: União das freguesias de Igreja Nova e Cheleiros;4693;754;252;236;213;244;330;404;427;341;307;219;243;265;458;110920
110921: União das freguesias de Malveira e São Miguel de Alcainça;9647;1701;550;513;441;595;819;965;925;675;556;454;412;322;719;110921
110922: União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés;10815;1785;690;586;467;565;770;996;1062;860;670;568;514;439;843;110922
