Dicofre,Jovens,Adultos,Seniores
,2419275,5500152,2423639
,721791,1527795,620622
,721791,1527795,620622
150201.0,3660,7133,2435
150202.0,924,1819,601
150203.0,817,1383,371
150303.0,2921,7565,3482
150312.0,9927,24468,14213
150313.0,7184,13521,5640
150314.0,12939,25763,10031
150315.0,9929,20836,8819
111513.0,8979,19640,8988
111512.0,4662,9076,3099
111514.0,7136,14350,5607
111515.0,4670,10596,5522
111516.0,11243,23523,8195
111517.0,5719,13773,6676
150407.0,3118,5920,2556
150409.0,9175,20660,11461
150410.0,5260,11287,5266
150411.0,973,1927,742
110501.0,11922,23299,8944
110506.0,16141,31748,11349
110507.0,11107,23874,11548
110508.0,15382,32190,16620
110601.0,3064,7323,3919
110602.0,3009,7500,3341
110654.0,7968,17104,8237
110655.0,4996,11102,5062
110656.0,6591,20036,6675
110657.0,5527,12276,5458
110607.0,2499,6542,3142
110658.0,4197,7958,4391
110608.0,7294,17593,10475
110659.0,5211,11499,5430
110610.0,3115,8077,3595
110611.0,4470,9289,4269
110660.0,5120,10956,4191
110618.0,11944,24701,9689
110621.0,8449,18489,8541
110661.0,1817,5608,2233
110633.0,7131,16494,8554
110662.0,6662,12321,3399
110663.0,5669,16222,6584
110664.0,7344,12430,3871
110665.0,1728,6296,2027
110666.0,2369,6312,2379
110639.0,7520,17560,8996
110667.0,2595,8051,3310
110702.0,1122,2405,1275
110705.0,632,1418,589
110707.0,7901,16458,5895
110708.0,735,1678,803
110731.0,9346,17215,6944
110726.0,4272,10080,6570
110727.0,6580,13300,4792
110728.0,10708,23032,10713
110729.0,2155,4445,2005
110730.0,7904,15898,4720
110902.0,753,1606,489
110904.0,1288,2556,1074
110906.0,3233,6729,2397
110909.0,6070,11423,3288
110911.0,2325,4202,1118
110913.0,1130,2375,891
110918.0,1056,2305,1073
110919.0,1049,2100,830
110920.0,1242,2485,966
110921.0,2764,5430,1453
110922.0,3061,5958,1796
150601.0,4367,8758,3021
150603.0,4504,9315,3909
150607.0,7724,15298,7067
150608.0,584,1191,517
150701.0,290,711,565
150704.0,761,1666,816
150709.0,1420,2873,1086
150710.0,11391,22932,7081
150711.0,961,2232,897
111603.0,15163,32334,12089
111608.0,8736,18808,7567
111609.0,4384,9687,4735
111610.0,9354,18656,6521
111002.0,3865,7798,2788
111009.0,4040,7812,3246
111012.0,11348,24276,12312
111013.0,9633,18437,8009
111014.0,13295,29906,14893
150802.0,4699,9543,4548
150803.0,7204,14816,4969
150804.0,3805,7710,2747
150806.0,2017,4494,2300
151002.0,12458,25381,11506
151005.0,12743,26881,11182
151006.0,5519,10734,4501
151007.0,11841,25113,8648
151103.0,7948,15596,4545
151101.0,5008,10625,4579
151102.0,633,1888,1562
151207.0,1922,3632,1255
151208.0,1218,2647,1492
151205.0,13996,27900,10731
151209.0,5563,10831,4552
151210.0,8321,18973,10463
111102.0,18869,38495,11285
111115.0,3960,7249,2138
111105.0,1820,3967,1959
111108.0,13939,27984,7566
111122.0,10673,22104,8546
111123.0,4246,9023,3993
111125.0,12293,26420,9091
111126.0,14053,29235,9126
111127.0,4487,9505,4001
111128.0,7691,16195,6010
111124.0,11495,23018,5170
111412.0,3126,6586,2933
111413.0,9148,20099,7218
111414.0,2040,4339,1575
111415.0,10937,23705,6229
111408.0,6355,11671,3232
111409.0,4541,9558,4237
