,Total,"Empresários com profissões intelectuais, científicas e técnicas",Empresários da indústria comércio e serviços,Empresários do sector primário,Pequenos patrões com profissões intelectuais e científicas,Pequenos patrões com profissões técnicas intermédias,Pequenos patrões da indústria,Pequenos patrões do comércio e serviços,Pequenos patrões do sector primário,Profissionais intelectuais e científicos,Profissionais técnicos intermédios independentes,Trabalhadores industriais e artesanais independentes,Prestadores de serviços e comerciantes independentes,Trabalhadores independentes do sector primário,"Directores e quadros dirigentes do estado, das médias e grandes empresas",Quadros intelectuais e científicos,Quadros técnicos intermédios,Quadros administrativos intermédios,Empregados administrativos do comércio e serviços,Operários qualificados e semiqualificados,Assalariados do sector primário,Trabalhadores administrativos do comércio e serviços não qualificados,Operários não qualificados,Trabalhadores não qualificados do sector primário,Pessoal das forças armadas,Outras pessoas ativas n.e.,Pessoas inativas
PT: Portugal,10343066,39006,151319,5043,30501,27194,91442,88590,9229,93942,44519,89738,153350,36345,132290,656624,336581,52472,1020331,667940,53380,401217,190619,23353,22768,400185,5525088
17: Área Metropolitana de Lisboa,2870208,17466,44558,578,11040,8896,21727,23522,921,37207,16865,19157,43342,2458,55098,228585,118858,18800,317188,112673,6574,111641,25625,1188,10613,123186,1492442
170: Área Metropolitana de Lisboa,2870208,17466,44558,578,11040,8896,21727,23522,921,37207,16865,19157,43342,2458,55098,228585,118858,18800,317188,112673,6574,111641,25625,1188,10613,123186,1492442
150201: Alcochete,13228,58,179,12,53,52,106,103,15,160,60,73,168,18,306,1109,587,73,1418,497,94,458,149,58,81,535,6806
150202: Samouco,3344,15,31,2,8,3,15,26,0,24,10,33,51,40,36,186,129,25,479,201,58,113,41,1,28,119,1670
150203: São Francisco,2571,21,44,1,21,15,27,31,2,38,16,23,36,8,72,260,142,17,262,76,21,56,17,5,24,71,1265
150303: Costa da Caparica,13968,84,212,6,53,54,130,131,26,215,125,105,313,30,237,1087,533,67,1384,424,74,408,52,2,55,680,7481
"150312: União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",48608,311,603,0,145,120,214,368,9,668,313,280,726,14,704,4079,1974,280,5294,1441,41,1673,205,2,232,2179,26733
150313: União das freguesias de Caparica e Trafaria,26345,94,381,3,62,59,146,200,5,186,95,197,398,37,266,1201,696,145,2729,1220,97,1484,222,1,107,1607,14707
150314: União das freguesias de Charneca de Caparica e Sobreda,48733,310,686,2,244,254,522,482,12,611,367,399,788,46,1177,4493,2552,314,4718,1531,68,1241,216,2,419,1790,25489
150315: União das freguesias de Laranjeiro e Feijó,39584,147,536,0,63,96,211,283,3,293,181,271,633,9,374,2284,1472,228,4832,1775,59,1927,295,4,385,2102,21121
111513: Águas Livres,37607,183,660,6,66,70,184,315,6,267,163,291,599,5,461,2358,1486,243,4469,1625,55,2199,288,6,106,1840,19656
111512: Alfragide,16837,124,228,4,77,55,116,131,1,254,122,79,183,6,501,1908,864,115,1553,419,30,517,58,0,47,732,8713
111514: Encosta do Sol,27093,92,470,5,48,49,161,214,5,171,106,193,439,7,272,1465,998,127,3299,1472,42,1488,191,7,57,1440,14275
111515: Falagueira-Venda Nova,20788,88,347,3,28,39,94,162,2,172,117,153,387,2,225,1232,812,122,2504,846,21,901,140,5,37,1049,11300
111516: Mina de Água,42961,200,652,3,86,96,273,365,2,287,197,336,763,8,603,2753,1879,334,5881,2157,64,2168,343,7,126,1963,21415
111517: Venteira,26168,145,453,4,64,72,134,222,2,251,168,187,460,3,400,1925,1085,182,3268,924,14,1127,160,1,60,1286,13571
150407: Santo António da Charneca,11594,41,172,0,23,31,78,68,2,76,44,63,173,12,164,727,464,63,1194,539,11,472,172,1,71,507,6426
"150409: União das freguesias de Alto do Seixalinho, Santo André e Verderena",41296,154,598,2,56,65,145,217,6,284,153,176,622,15,401,2331,1554,262,4939,1822,45,1868,608,6,147,2000,22820
150410: União das freguesias de Barreiro e Lavradio,21813,117,302,1,46,42,86,122,2,190,97,88,264,8,274,1549,1004,154,2500,894,20,780,354,7,73,1048,11791
150411: União das freguesias de Palhais e Coina,3642,14,46,1,12,7,24,33,0,31,12,20,57,6,48,313,189,17,369,170,5,95,60,1,31,126,1955
110501: Alcabideche,44165,207,648,14,174,173,472,412,25,558,314,423,789,58,886,2648,1461,274,4787,1466,189,2269,190,9,84,1903,23732
110506: São Domingos de Rana,59238,349,849,6,181,202,526,522,10,658,401,508,985,50,1239,4664,2837,445,6721,2205,110,2404,346,6,153,2319,30542
110507: União das freguesias de Carcavelos e Parede,46529,417,633,4,300,224,418,374,7,1141,478,203,641,32,1385,5161,2162,291,3918,700,48,1015,92,5,93,1760,25027
110508: União das freguesias de Cascais e Estoril,64192,494,1139,23,488,356,787,634,42,1471,661,314,961,69,1909,4817,2056,361,5057,1005,197,2094,152,9,82,2385,36629
110601: Ajuda,14306,112,198,1,49,31,90,97,2,227,91,61,207,0,304,1219,480,89,1414,346,14,558,47,0,36,678,7955
110602: Alcântara,13850,131,209,3,95,36,113,132,6,352,104,53,178,6,414,1591,531,75,1306,277,19,417,41,2,31,652,7076
