,Total,Nenhum,1.º ciclo,2.º ciclo,3.º ciclo,Ensino secundário,Ensino pós-secundário,Curso técnico superior profissional,Bacharelato,Licenciatura,Mestrado,Doutoramento
PT: Portugal,10343066,1346575,2218626,1129862,1641453,2119842,103820,16542,130800,1207858,374991,52697
17: Área Metropolitana de Lisboa,2870208,359664,456507,255782,458079,652661,32900,4599,48902,433997,145758,21359
170: Área Metropolitana de Lisboa,2870208,359664,456507,255782,458079,652661,32900,4599,48902,433997,145758,21359
150201: Alcochete,13228,1695,2052,1247,2001,3061,150,18,230,2077,607,90
150202: Samouco,3344,397,569,399,600,873,48,4,39,345,63,7
150203: São Francisco,2571,377,365,232,341,554,28,2,44,482,132,14
150303: Costa da Caparica,13968,1585,2066,1167,2304,3304,134,18,336,2144,763,147
150312: União das freguesias de Almada,,,,,,,,,,,,
150313: União das freguesias de Caparica e Trafaria,26345,3987,5318,3013,4761,5550,246,53,258,2300,747,112
150314: União das freguesias de Charneca de Caparica e Sobreda,48733,5902,7353,4083,7234,11302,590,86,931,8442,2460,350
150315: União das freguesias de Laranjeiro e Feijó,39584,5105,7094,3990,6907,9525,492,60,548,4433,1289,141
111513: Águas Livres,37607,5103,6982,3459,6282,8790,417,64,492,4418,1452,148
111512: Alfragide,16837,2220,2151,1390,2310,3507,163,16,395,3353,1149,183
111514: Encosta do Sol,27093,4024,5094,2705,4615,6035,301,41,316,2908,939,115
111515: Falagueira-Venda Nova,20788,2501,4467,1911,3298,4803,254,37,265,2408,776,68
111516: Mina de Água,42961,5852,7342,4221,7377,10331,561,80,445,5161,1478,113
111517: Venteira,26168,3067,4459,2181,4380,6340,301,58,410,3694,1172,106
150407: Santo António da Charneca,11594,1616,2154,1121,1997,2705,109,22,133,1346,359,32
150409: União das freguesias de Alto do Seixalinho,,,,,,,,,,,,
150410: União das freguesias de Barreiro e Lavradio,21813,2523,3761,1920,3917,5301,253,46,334,2913,772,73
150411: União das freguesias de Palhais e Coina,3642,496,714,366,539,779,48,9,37,500,139,15
110501: Alcabideche,44165,5753,7355,4133,7305,10139,569,68,870,5982,1758,233
110506: São Domingos de Rana,59238,7704,9161,5434,9507,13891,829,113,1004,8899,2396,300
110507: União das freguesias de Carcavelos e Parede,46529,4781,4547,2915,6157,10759,553,65,1689,10880,3495,688
110508: União das freguesias de Cascais e Estoril,64192,7778,6862,4355,8857,14726,630,82,2513,12993,4533,863
110601: Ajuda,14306,1805,2793,1267,2254,2715,126,24,218,2017,954,133
110602: Alcântara,13850,1616,2025,980,1894,2622,120,29,314,2758,1283,209
110654: Alvalade,33309,3861,3172,1864,3486,5673,226,35,950,8904,4313,825
110655: Areeiro,21160,2315,1983,1157,2201,3778,137,16,584,5839,2569,581
110656: Arroios,33302,3945,3450,1702,3726,6902,322,45,821,7629,4047,713
110657: Avenidas Novas,23261,2595,1875,1130,2172,3795,130,24,666,6732,3483,659
110607: Beato,12183,1557,2315,1067,1977,2493,104,10,210,1688,665,97
110658: Belém,16546,1843,1628,915,1789,2797,119,14,482,4529,1976,454
110608: Benfica,35362,3736,5285,2489,4844,6769,282,44,873,7773,2794,473
110659: Campo de Ourique,22140,2721,2737,1425,2705,4026,163,28,616,4985,2332,402
110610: Campolide,14787,1703,2436,1250,2053,2744,123,22,269,2633,1374,180
110611: Carnide,18028,2246,2774,1386,2422,3001,92,23,370,3942,1494,278
110660: Estrela,20267,2478,2179,1179,2068,3591,155,19,618,4955,2577,448
110618: Lumiar,46334,5303,4157,2687,4546,7159,284,41,1204,13698,6024,1231
110621: Marvila,35479,5145,8873,4167,6132,6561,308,55,266,2856,982,134
